UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Inspection Summary,Recommended Action,Action Category
1,M14860,M,298.1,308.6,1551,42.8,42.0,20.0,No Failure,Engine ID 1 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
2,L47181,L,298.2,308.7,1408,46.3,52.0,21.0,No Failure,Engine ID 2 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
3,L47182,L,298.1,308.5,1498,49.4,44.0,18.0,No Failure,Engine ID 3 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
4,L47183,L,298.2,308.6,1433,39.5,52.0,10.0,No Failure,Engine ID 4 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
5,L47184,L,298.2,308.7,1408,40.0,44.0,10.0,No Failure,Engine ID 5 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring; no immediate action required.,Monitor
6,M14865,M,298.1,308.6,1425,41.9,35.0,24.0,No Failure,Engine ID 6 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
7,L47186,L,298.1,308.6,1558,42.4,36.0,20.0,No Failure,Engine ID 7 is operating within normal parameters with no failures detected. All readings are stable and within acceptable limits.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
8,L47187,L,298.1,308.6,1527,40.2,33.0,14.0,No Failure,Engine ID 8 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
9,M14868,M,298.3,308.7,1667,28.6,23.0,22.0,No Failure,Engine ID 9 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
10,M14869,M,298.5,309.0,1741,28.0,45.0,22.0,No Failure,Engine ID 10 is operating within normal parameters with no failures detected. Vibration level is slightly elevated but acceptable.,Monitor vibration levels during next inspection and consider further analysis if levels increase.,Monitor
11,H29424,H,298.4,308.9,1782,23.9,55.0,19.73,No Failure,Engine ID 11 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
12,H29425,H,298.6,309.1,1423,44.3,45.0,20.03,No Failure,Engine ID 12 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
13,M14872,M,298.6,309.1,1339,51.1,34.0,20.33,No Failure,Engine ID 13 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
14,M14873,M,298.6,309.2,1742,30.0,34.0,20.62,No Failure,"Engine ID 14 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all readings are stable.",Continue regular monitoring and maintenance schedule.,Monitor
15,L47194,L,298.6,309.2,2035,19.6,23.0,20.92,No Failure,"Engine ID 15 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
16,L47195,L,298.6,309.2,1542,48.4,42.0,21.22,No Failure,"Engine ID 16 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
17,M14876,M,298.6,309.2,1311,46.6,54.0,21.52,No Failure,Engine ID 17 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
18,M14877,M,298.7,309.2,1410,45.6,55.0,21.81,No Failure,Engine ID 18 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
19,H29432,H,298.8,309.2,1306,54.5,54.0,22.11,No Failure,Engine 19 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
20,M14879,M,298.9,309.3,1632,32.5,34.0,22.41,No Failure,"Engine ID 20 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all readings are stable.",Continue to monitor performance and schedule routine maintenance.,Monitor
21,H29434,H,298.9,309.3,1375,42.7,33.0,22.7,No Failure,Engine ID 21 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
22,L47201,L,298.8,309.3,1450,44.8,23.0,23.0,No Failure,Engine ID 22 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance as scheduled.,Monitor
23,M14882,M,298.9,309.3,1581,30.7,24.0,23.3,No Failure,Engine ID 23 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and ensure regular maintenance schedule is followed.,Monitor
24,L47203,L,299.0,309.4,1758,25.7,36.0,23.59,No Failure,Engine ID 24 is operating within normal parameters with no failures detected. Vibration levels are acceptable and temperatures are stable.,Continue regular monitoring and maintenance schedule.,Monitor
25,M14884,M,299.0,309.4,1561,37.3,34.0,23.89,No Failure,"Engine ID 25 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
26,L47205,L,299.0,309.5,1861,23.3,35.0,24.19,No Failure,Engine ID 26 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
27,L47206,L,299.1,309.5,1512,39.0,36.0,24.48,No Failure,Engine ID 27 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection as per maintenance plan.,Monitor
28,H29441,H,299.1,309.4,1811,24.6,37.0,24.78,No Failure,Engine ID 28 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
29,L47208,L,299.1,309.4,1439,44.2,38.0,25.08,No Failure,Engine ID 29 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable for current operational hours.,Continue routine monitoring and maintenance as scheduled.,Monitor
30,L47209,L,299.0,309.4,1693,30.1,39.0,25.38,No Failure,Engine ID 30 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
31,M14890,M,299.1,309.5,1339,48.2,40.0,25.67,No Failure,Engine ID 31 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance as scheduled.,Monitor
32,L47211,L,299.0,309.4,1798,25.5,34.56129032,25.97,No Failure,Engine ID 32 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during the next inspection and consider further analysis if they increase.,Monitor
33,L47212,L,299.0,309.4,1419,48.3,34.27983871,26.27,No Failure,"Engine ID 33 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and schedule the next inspection as planned.,Monitor
34,L47213,L,298.9,309.3,1665,32.5,33.9983871,26.56,No Failure,Engine ID 34 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
35,M14894,M,298.8,309.1,1559,34.7,33.71693548,26.86,No Failure,"Engine ID 35 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all readings are stable.",Continue regular monitoring and maintenance schedule.,Monitor
36,M14895,M,298.8,309.2,1452,48.6,33.43548387,27.16,No Failure,Engine ID 36 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
37,M14896,M,298.9,309.2,1581,36.7,33.15403226,27.45,No Failure,Engine ID 37 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue to monitor performance and schedule routine maintenance.,Monitor
38,L47217,L,298.8,309.1,1439,39.2,32.87258065,27.75,No Failure,Engine ID 38 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
39,H29452,H,298.9,309.2,1379,50.7,32.59112903,28.05,No Failure,Engine ID 39 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
40,L47219,L,298.8,309.1,1350,52.5,32.30967742,28.35,No Failure,Engine ID 40 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
41,L47220,L,298.8,309.1,1362,45.4,32.02822581,28.64,No Failure,Engine ID 41 is operating within normal parameters with no failures detected. All readings are stable and within acceptable ranges.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
42,L47221,L,298.8,309.1,1368,50.8,31.74677419,28.94,No Failure,Engine ID 42 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
43,M14902,M,298.8,309.1,1368,49.1,31.46532258,29.24,No Failure,"Engine ID 43 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
