UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Comment
1,M14860,M,298.1,308.6,1551,42.8,42.0,20.0,No Failure,"Technician inspected Engine #1. RPM at 1551, torque at 42.8 Nm. Air temp 298.1K, Process temp 308.6K. Vibration level recorded at 42.0. Engine has run for 20.0 hours. No failure detected."
2,L47181,L,298.2,308.7,1408,46.3,52.0,21.0,No Failure,"Technician inspected Engine #2. RPM at 1408, torque at 46.3 Nm. Air temp 298.2K, Process temp 308.7K. Vibration level recorded at 52.0. Engine has run for 21.0 hours. No failure detected."
3,L47182,L,298.1,308.5,1498,49.4,44.0,18.0,No Failure,"Technician inspected Engine #3. RPM at 1498, torque at 49.4 Nm. Air temp 298.1K, Process temp 308.5K. Vibration level recorded at 44.0. Engine has run for 18.0 hours. No failure detected."
4,L47183,L,298.2,308.6,1433,39.5,52.0,10.0,No Failure,"Technician inspected Engine #4. RPM at 1433, torque at 39.5 Nm. Air temp 298.2K, Process temp 308.6K. Vibration level recorded at 52.0. Engine has run for 10.0 hours. No failure detected."
5,L47184,L,298.2,308.7,1408,40.0,44.0,10.0,No Failure,"Technician inspected Engine #5. RPM at 1408, torque at 40.0 Nm. Air temp 298.2K, Process temp 308.7K. Vibration level recorded at 44.0. Engine has run for 10.0 hours. No failure detected."
6,M14865,M,298.1,308.6,1425,41.9,35.0,24.0,No Failure,"Technician inspected Engine #6. RPM at 1425, torque at 41.9 Nm. Air temp 298.1K, Process temp 308.6K. Vibration level recorded at 35.0. Engine has run for 24.0 hours. No failure detected."
7,L47186,L,298.1,308.6,1558,42.4,36.0,20.0,No Failure,"Technician inspected Engine #7. RPM at 1558, torque at 42.4 Nm. Air temp 298.1K, Process temp 308.6K. Vibration level recorded at 36.0. Engine has run for 20.0 hours. No failure detected."
8,L47187,L,298.1,308.6,1527,40.2,33.0,14.0,No Failure,"Technician inspected Engine #8. RPM at 1527, torque at 40.2 Nm. Air temp 298.1K, Process temp 308.6K. Vibration level recorded at 33.0. Engine has run for 14.0 hours. No failure detected."
9,M14868,M,298.3,308.7,1667,28.6,23.0,22.0,No Failure,"Technician inspected Engine #9. RPM at 1667, torque at 28.6 Nm. Air temp 298.3K, Process temp 308.7K. Vibration level recorded at 23.0. Engine has run for 22.0 hours. No failure detected."
10,M14869,M,298.5,309.0,1741,28.0,45.0,22.0,No Failure,"Technician inspected Engine #10. RPM at 1741, torque at 28.0 Nm. Air temp 298.5K, Process temp 309.0K. Vibration level recorded at 45.0. Engine has run for 22.0 hours. No failure detected."
11,H29424,H,298.4,308.9,1782,23.9,55.0,19.73,No Failure,"Technician inspected Engine #11. RPM at 1782, torque at 23.9 Nm. Air temp 298.4K, Process temp 308.9K. Vibration level recorded at 55.0. Engine has run for 19.7 hours. No failure detected."
12,H29425,H,298.6,309.1,1423,44.3,45.0,20.03,No Failure,"Technician inspected Engine #12. RPM at 1423, torque at 44.3 Nm. Air temp 298.6K, Process temp 309.1K. Vibration level recorded at 45.0. Engine has run for 20.0 hours. No failure detected."
