iter	Passed	Remaining
0	15	15393
1	17	8675
2	18	6299
3	20	5094
4	23	4615
5	25	4184
6	27	3918
7	29	3673
8	31	3450
9	32	3255
10	34	3091
11	35	2952
12	38	2886
13	41	2897
14	42	2822
15	45	2779
16	46	2708
17	48	2650
18	50	2598
19	52	2562
20	55	2577
21	58	2581
22	60	2580
23	62	2543
24	64	2506
25	66	2473
26	67	2433
27	69	2402
28	71	2405
29	74	2400
30	76	2376
31	77	2347
32	79	2319
33	80	2292
34	82	2264
35	83	2238
36	85	2221
37	87	2210
38	88	2189
39	90	2169
40	91	2147
41	93	2128
42	94	2109
43	96	2092
44	97	2074
45	99	2056
46	101	2063
47	103	2055
48	105	2042
49	106	2026
50	108	2012
51	109	1997
52	111	1983
53	112	1969
54	113	1957
55	115	1945
56	117	1938
57	119	1932
58	120	1921
59	121	1909
60	123	1898
61	124	1887
62	126	1876
63	127	1866
64	129	1856
65	130	1847
66	132	1841
67	134	1840
68	136	1836
69	137	1830
70	139	1823
71	141	1818
72	142	1812
73	144	1804
74	145	1798
75	147	1790
76	149	1795
77	151	1790
78	152	1782
79	154	1774
80	155	1767
81	157	1760
82	158	1753
83	160	1751
84	162	1747
85	163	1742
86	166	1752
87	168	1749
88	170	1745
89	172	1739
90	173	1732
91	175	1732
92	177	1733
93	179	1727
94	181	1730
95	183	1727
96	184	1721
97	186	1715
98	187	1710
99	189	1706
100	191	1701
101	192	1694
102	193	1688
103	195	1683
104	197	1686
105	199	1684
106	201	1679
107	202	1673
108	204	1669
109	205	1665
110	207	1661
111	209	1657
112	210	1653
113	212	1650
114	215	1658
115	217	1655
116	219	1653
117	221	1653
118	223	1653
119	225	1653
120	227	1652
121	231	1666
122	233	1664
123	235	1662
124	237	1659
125	238	1655
126	240	1651
127	241	1647
128	243	1643
129	246	1649
130	249	1652
131	251	1653
132	253	1654
133	256	1655
134	258	1656
135	260	1656
136	263	1660
137	265	1659
138	267	1658
139	269	1655
140	271	1652
141	272	1648
142	274	1643
143	275	1639
144	280	1653
145	282	1650
146	283	1645
147	284	1640
148	286	1636
149	287	1631
150	289	1627
151	290	1622
152	293	1627
153	296	1626
154	297	1623
155	299	1619
156	300	1615
157	302	1611
158	303	1607
159	305	1603
160	307	1600
161	308	1595
162	311	1599
163	313	1596
164	314	1593
165	316	1589
166	317	1585
167	319	1581
168	320	1577
169	322	1574
170	323	1570
171	326	1572
172	328	1570
173	330	1567
174	331	1563
175	333	1561
176	335	1557
177	336	1555
178	338	1551
179	339	1547
180	342	1551
181	344	1548
182	346	1544
183	347	1541
184	349	1539
185	351	1536
186	352	1532
187	354	1529
188	355	1525
189	358	1527
190	359	1524
191	361	1520
192	362	1516
193	364	1513
194	365	1510
195	367	1506
196	368	1503
197	370	1499
198	371	1496
199	374	1497
200	376	1494
201	377	1490
202	378	1487
203	380	1484
204	382	1483
205	383	1480
206	385	1476
207	386	1473
208	388	1469
209	390	1469
210	392	1466
211	393	1463
212	395	1460
213	396	1457
214	398	1455
215	400	1454
216	402	1452
217	405	1453
218	407	1451
219	408	1448
220	410	1445
221	411	1442
222	413	1439
223	414	1436
224	416	1432
225	417	1429
226	419	1426
227	421	1428
228	423	1425
229	424	1422
230	426	1420
231	428	1417
232	429	1415
233	431	1412
234	433	1410
235	434	1407
236	436	1405
237	438	1404
238	440	1402
239	441	1399
240	443	1395
241	444	1392
242	446	1389
243	447	1386
244	448	1383
245	450	1380
246	451	1377
247	453	1376
248	455	1374
249	457	1372
250	458	1369
251	460	1367
252	462	1364
253	463	1361
254	464	1358
255	466	1355
256	467	1352
257	470	1352
258	471	1349
259	473	1347
260	474	1344
261	476	1341
262	477	1338
263	479	1335
264	480	1332
265	481	1329
266	483	1327
267	486	1329
268	488	1326
269	489	1324
270	491	1321
271	492	1318
272	494	1315
273	495	1312
274	496	1310
275	498	1307
276	499	1304
277	502	1304
278	503	1302
279	505	1299
280	506	1297
281	508	1294
282	509	1291
283	511	1288
284	512	1286
285	514	1283
286	515	1281
287	518	1280
288	519	1278
289	521	1275
290	522	1272
291	523	1270
292	525	1267
293	526	1265
294	528	1262
295	529	1259
296	532	1260
297	534	1259
298	536	1257
299	537	1254
300	539	1251
301	540	1249
302	542	1246
303	543	1244
304	544	1241
305	546	1239
306	548	1237
307	551	1237
308	552	1235
309	554	1233
310	555	1231
311	557	1229
312	558	1226
313	560	1225
314	562	1222
315	563	1220
316	566	1220
317	568	1218
318	569	1216
319	571	1213
320	572	1211
321	574	1208
322	575	1206
323	577	1204
324	578	1201
325	579	1199
326	582	1198
327	583	1195
328	585	1193
329	586	1191
330	588	1188
331	590	1187
332	591	1185
333	593	1183
334	594	1180
335	596	1179
336	598	1177
337	599	1175
338	601	1172
339	602	1170
340	604	1168
341	606	1166
342	607	1164
343	609	1161
344	610	1159
345	612	1157
346	614	1155
347	615	1153
348	617	1150
349	618	1149
350	620	1147
351	621	1144
352	623	1142
353	624	1140
354	626	1137
355	627	1135
356	630	1135
357	631	1133
358	633	1131
359	635	1129
360	636	1126
361	638	1124
362	639	1122
363	640	1119
364	642	1117
365	643	1115
366	646	1115
367	648	1113
368	650	1111
369	651	1109
370	653	1107
371	654	1105
372	656	1102
373	657	1100
374	658	1098
375	660	1095
376	662	1095
377	664	1093
378	665	1090
379	667	1088
380	668	1086
381	670	1084
382	671	1081
383	672	1079
384	674	1077
385	675	1075
386	678	1074
387	679	1072
388	681	1070
389	682	1068
390	684	1065
391	685	1063
392	687	1061
393	688	1059
394	690	1056
395	691	1054
396	693	1052
397	695	1052
398	697	1050
399	698	1048
400	700	1046
401	701	1044
402	703	1041
403	704	1039
404	706	1037
405	707	1035
406	710	1035
407	712	1033
408	713	1031
409	715	1028
410	716	1026
411	717	1024
412	719	1022
413	720	1020
414	722	1017
415	723	1015
416	726	1015
417	728	1014
418	730	1013
419	732	1011
420	735	1011
421	736	1009
422	738	1007
423	739	1005
424	743	1005
425	744	1003
426	746	1001
427	748	999
428	749	997
429	751	995
430	752	993
431	753	991
432	755	989
433	756	987
434	759	985
435	760	983
436	762	981
437	763	979
438	765	977
439	766	975
440	767	973
441	769	971
442	770	969
443	772	967
444	774	966
445	776	964
446	777	962
447	779	960
448	780	957
449	782	955
450	783	953
451	785	952
452	787	950
453	790	950
454	791	948
455	793	946
456	794	944
457	796	942
458	797	940
459	799	938
460	800	936
461	803	935
462	804	933
463	806	931
464	808	929
465	809	927
466	811	925
467	812	923
468	814	921
469	815	920
470	817	918
471	818	915
472	821	915
473	823	913
474	824	911
475	825	909
476	827	907
477	828	905
478	830	903
479	831	901
480	833	899
481	834	897
482	837	896
